id,created_at,text
1369396064126636044,2021-03-09 21:13:58,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369393167842357248,2021-03-09 21:02:27,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369389644127866886,2021-03-09 20:48:27,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369387579611742216,2021-03-09 20:40:15,"b'RT @steketeh: Frankfurter Rundschau @fr, you must know that occupying power Israel has a responsibility to ensure the medical supplies of t\xe2\x80\xa6'"
1369377793985966088,2021-03-09 20:01:22,"b""RT @tlupick: '[#Covid19] vaccination teams set up mobile clinics, offering cash or gift cards, to reach vulnerable #homeless people' https:\xe2\x80\xa6"""
1369366487727738887,2021-03-09 19:16:26,"b'RT @DrCJ_Houldcroft: @ArisKatzourakis And now than ever, the most marginalized in society will be vulnerable due to lower vaccine take up.\xe2\x80\xa6'"
1369365338954010638,2021-03-09 19:11:53,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369353594579869698,2021-03-09 18:25:12,"b""'[#Covid19] vaccination teams set up mobile clinics, offering cash or gift cards, to reach vulnerable #homeless peo\xe2\x80\xa6 https://t.co/gV8NWPlAmq"""
1369348033981386753,2021-03-09 18:03:07,b'RT @lynbrownmp: \xf0\x9f\x93\xba WATCH: Poverty and inequality are massive barriers to vaccine access. We need COVID vaccination programmes to work for Ne\xe2\x80\xa6'
1369343512295129089,2021-03-09 17:45:09,"b'If you are vaccinated against the current virus, consider the image of privilege &amp; inequality you promote by travel\xe2\x80\xa6 https://t.co/SQaR0Oqs9y'"
1369342051020640262,2021-03-09 17:39:20,"b'RT @docnat: COVID-19: Addressing vaccination inequality in an interconnected world Tickets, Tue 9 Mar 2021 at 17:00 | Eventbrite https://t.\xe2\x80\xa6'"
1369341470751199234,2021-03-09 17:37:02,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369338642297217028,2021-03-09 17:25:48,b'RT @lynbrownmp: \xf0\x9f\x93\xba WATCH: Poverty and inequality are massive barriers to vaccine access. We need COVID vaccination programmes to work for Ne\xe2\x80\xa6'
1369338088808415236,2021-03-09 17:23:36,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369336400525549573,2021-03-09 17:16:53,b'\xf0\x9f\x93\xba WATCH: Poverty and inequality are massive barriers to vaccine access. We need COVID vaccination programmes to wor\xe2\x80\xa6 https://t.co/NuX9SM9wq5'
1369334620257390600,2021-03-09 17:09:49,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369333290310791170,2021-03-09 17:04:32,"b'COVID-19: Addressing vaccination inequality in an interconnected world Tickets, Tue 9 Mar 2021 at 17:00 | Eventbrite https://t.co/fsPomwPQWB'"
1369330163700404233,2021-03-09 16:52:06,"b'RT @steketeh: Frankfurter Rundschau @fr, you must know that occupying power Israel has a responsibility to ensure the medical supplies of t\xe2\x80\xa6'"
1369329130492297218,2021-03-09 16:48:00,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369327525005000709,2021-03-09 16:41:37,"b'RT @mikejennings101: Looking forward to the @SOAS event looking at vaccine inequality in an interconnected world, which starts soon. Still\xe2\x80\xa6'"
1369327402774626317,2021-03-09 16:41:08,"b'Looking forward to the @SOAS event looking at vaccine inequality in an interconnected world, which starts soon. Sti\xe2\x80\xa6 https://t.co/Voxuf6cpT7'"
1369326274162917377,2021-03-09 16:36:39,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369325244574535689,2021-03-09 16:32:33,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369325074935910410,2021-03-09 16:31:53,b'RT @carmelatroncoso: and this is why associating privileges with vaccination is equivalent to giving more privileges to the already privile\xe2\x80\xa6'
1369324565533499402,2021-03-09 16:29:51,"b'Frankfurter Rundschau @fr, you must know that occupying power Israel has a responsibility to ensure the medical sup\xe2\x80\xa6 https://t.co/IEXJ2YnsP8'"
1369315981391183879,2021-03-09 15:55:45,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369312972183642121,2021-03-09 15:43:47,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369312433374965762,2021-03-09 15:41:39,"b'RT @dublinactivist: As a medic, I am shocked. The internationally-acclaimed COVID-19 vaccination success of Israel has a dark side, the con\xe2\x80\xa6'"
1369312060388089861,2021-03-09 15:40:10,b'A new @UoMPolicy blog from the Manchester Urban Ageing Research Group (MURAG) considers the importance of  a commun\xe2\x80\xa6 https://t.co/xb0haXMp1g'
